date_crop_box,date_guess,date_guess_id,image_name
"(2616, 225, 3270, 334)","Ji anuary 27 , 33",1,0012_004268_000001_0001.tif
"(212, 229, 754, 337)",October 1539,1,0012_004268_000004_0001.tif
"(2439, 540, 3029, 652)",Apr-32,2,0012_004268_000004_0001.tif
"(2605, 561, 3261, 657)",Oct-32,1,0012_004268_000005_0001.tif
"(2449, 195, 3037, 289)",Apr-38,1,0012_004268_000006_0001.tif
"(2542, 277, 3132, 368)",Apr-38,1,0012_004268_000007_0001.tif
"(2399, 581, 3117, 685)",Sep-33,1,0012_004268_000008_0001.tif
"(2469, 796, 3185, 906)",Sep-33,1,0012_004268_000009_0001.tif
"(378, 270, 919, 376)",Oct-40,1,0012_004268_000010_0001.tif
"(1706, 816, 2230, 907)",Mar-34,2,0012_004268_000010_0001.tif
"(345, 339, 890, 447)",May-39,1,0012_004268_000011_0001.tif
"(2485, 269, 3081, 364)",Mar-37,1,0012_004268_000012_0001.tif
"(3429, 213, 3950, 312)",Feb-46,1,0012_004268_000013_0001.tif
"(219, 430, 761, 543)",MAY 101939 °,1,0012_004268_000017_0001.tif
"(364, 209, 902, 320)",,1,0012_004268_000019_0001.tif
"(187, 193, 731, 304)",May 1939,1,0012_004268_000023_0001.tif
"(2442, 474, 3097, 570)",February 1937,2,0012_004268_000023_0001.tif
"(802, 470, 1494, 606)",,3,0012_004268_000023_0001.tif
"(2442, 470, 3134, 606)",February 1937,4,0012_004268_000023_0001.tif
"(54, 453, 599, 561)",May 1939,1,0012_004268_000025_0001.tif
"(2465, 902, 3059, 995)",March 1937,1,0012_004268_000028_0001.tif
"(105, 262, 671, 436)",May 1939,1,0012_004268_000029_0001.tif
"(234, 220, 783, 327)",May 1939,1,0012_004268_000032_0001.tif
"(2501, 436, 3092, 543)",April 1937,2,0012_004268_000032_0001.tif
"(861, 436, 1452, 543)",,3,0012_004268_000032_0001.tif
"(2377, 656, 2900, 750)",May 1937,1,0012_004268_000033_0001.tif
"(2642, 749, 3171, 854)",May 1937,1,0012_004268_000035_0001.tif
"(320, 407, 865, 518)",October 1940,1,0012_004268_000037_0001.tif
"(2268, 96, 2963, 196)",February 1938,1,0012_004268_000040_0001.tif
"(1278, 262, 1807, 364)",,2,0012_004268_000040_0001.tif
"(132, 404, 675, 521)",May 1933,3,0012_004268_000040_0001.tif
"(628, 96, 1323, 196)",,4,0012_004268_000040_0001.tif
"(824, 744, 1335, 838)",,1,0012_004268_000041_0001.tif
"(2464, 744, 2975, 838)",July 1937,2,0012_004268_000041_0001.tif
"(2383, 894, 3006, 1001)",August 1937,1,0012_004268_000042_0001.tif
"(743, 894, 1366, 1001)",,2,0012_004268_000042_0001.tif
